title,media_score,cast,short_review
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Lack of pop. There's not really much here that feels new, like we haven't seen it before."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan",A perfect throwback and homage to the classic action adventure movies of the 80's.
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan",I love the 1940s touches throughout and the action is really enjoyable.
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","The 40s setting is well realised, the characters are all really well developed and genuinely fun to watch, and the action scenes are well shot and exciting."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Like a drastically more unbelievable Indiana Jones, Captain America combats Nazi villains and stumbles into chases utilizing military vehicles."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan",Evans captures Captain America's swaggering bravado along with Rogers' awkward social skills.
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","However, it's just another mindless and soulless action movie, with all the visual and emotional appeal of a wet cardboard box."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","While Steve Rogers, the man in isolation, is a beacon of goodness, Captain America, the symbol within a larger narrative context, falls victim to Marvel's penchant for diluted ideology."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Director Joe Johnston delivers a fast-paced, consistently entertaining tale that stands on its own while still intertwining seamlessly with the other Marvel universe films that have come before."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Captain America may be too corny for its own good, not afraid to substitute action for (gasp!) verbal exchange between the characters. But I appreciated the old-school approach, which won me over as the film progressed."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan",Chris Evans embodies the spirit of Captain America as the Marvel Cinematic Universe introduces us to the super soldier from Brooklyn.
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Captain America: The First Avenger is an agreeable diversion. It's rock 'em, sock 'em comic book fun, but unlike many of the onscreen locations, the story never really catches fire."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Overall, it's a pretty solid fare with a straightforward story."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","The action is exciting, and even better, there's humor and heart."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","It may feel a little hokey, being set way back, but for me, it's an enjoyable easy watch with a sense of fun and escapism that it doesn't get full credit for."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Nothing less than an action-packed good time with a great cast, a great lead, a great score and great action sequences. In case you haven't guessed by now, it's great."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","It's loaded with enough action and emotion to lure in audiences not steeped in comic book minutia, but also peppered with enough tie-ins and callbacks to send a tingle up the legs of the faithful."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","This movie improves on every viewing, especially with the hindsight subsequent MCU movies offer- but Peggy Carter deserves more!"
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan","Parents of comic book fans could do much, much worse."
Captain America: The First Avenger,80%,"Chris Evans, Hayley Atwell, Sebastian Stan",Captain America is simply awful. It is another hour and a half of prologue to the film people are apparently waiting for The Avengers.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","Works tremendously on practically every level,"
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","The Winter Soldier is a damn-near perfect film within its genre, with exciting and well directed action spectacle and some good plot twists. An easy 5."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",When Steve has to fight Bucky it is emotional and exciting at the same time.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","This is a comic book movie so for all the high-minded subtext there are still big action scenes every ten minutes or so, each one larger and louder than the last."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","While the action sequences gain gravity and ferocity, the storyline reaches in the opposite direction with a tired world domination plot that's both stale and ludicrous."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","Captain America: The Winter Soldier"" may not be my favorite movie of all time... but it is the one that, given the chance, I would watch forever in heaven."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",Captain America: The Winter Soldier is that rare superhero film that excels in presenting both spectacle and substance.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",So much noise and action you almost fall asleep...
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",Captain America: The Winter Soldier is a more grounded affair instead of something fantastical.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",Marvel's version of a 1970s paranoid conspiracy thriller.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",The Winter Soldier is an exciting thrill ride. It's as action-packed as The Avengers and just as fun.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",The All-American did not disappoint.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","It's more coddling than challenging in any significant way, but it's undoubtedly effective at being ""feel-good,"" for whatever that might be worth."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","The bar of excellence is elevated to astronomical levels that future writers and directors in not only the Marvel universe, but others, will be hard pressed to equal let alone surpass."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","Actually, considering the character-based focus, reliance on a larger fictional world and jaw-dropping visuals, Winter Soldier feels like exactly what Marvel has made for generations: a truly great comic book."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","An exciting film that expertly uses modern moviemaking techniques, yet relatively minimal CGI, to meld aspects of the best classic espionage thrillers of the '70s and the fast-paced action of the current superhero flicks."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",I left the theater wanting to dropkick people and throw circular disks of patriotism at inequality.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson",It is rare to see a major tent-pole blockbuster like this one embrace such topical themes while remaining so light on its feet.
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","Redford's still got it and Mackie shines, but this is Evans' show: melancholy, emotive and unfailingly heroic, he grounds the spectacle with humanity."
Captain America: The Winter Soldier,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson","With its suspense and political references that are important now more than ever,Captain America: The Winter Soldieris a thrilling addition to the Marvel canon."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",There's some great visual humor. Once you get on Earth things start picking up.
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Despite many redeeming qualities about Captain Marvel, I found it to be a very safe film with slightly heavy-handed elements, which wasn't very exciting."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",This feels like a very by-committee MCU entry. At least they actually shoot in daylight at some honest-to-god recognizable locations in this one.
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",Carol Danvers takes us on her journey to understanding that her power does not need to be given to her; she can empower herself.
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","By repeatedly emphasizing resilience, Captain Marvel makes an effective role model for girls and boys alike."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Captain Marvel is a winner on all fronts, offering an exciting, engrossing standalone story while putting its stamp on the overarching MCU saga."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Good Marvel formula, with some genuinely surprising twists and strong action, but a familiar groove nonetheless."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",Larson plays [Captain Marvel] with dignity and has a lot of charisma. [Full review in Spanish]
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","The chemistry between Larson and Lynch propels the last half of the movie; Lynch brings depth, love, and believability to Maria."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","This nonlinear narrative adds interest beyond your typical origin story, but it's quickly overwhelmed by the same shtick that's in all these movies-uncompelling action sequences, recycled villains and flat direction."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",The convoluted origin story mixed with the cluttered action sequences suck some of the air out of the theatre but their take on the superhero character as both an outsider and one of us is as refreshing as it is unusual.
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","A Marvel staple is to keep the story light and entertaining, and Captain Marvel is on par with Guardians of the Galaxy and Ant-Man in that respect."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","The production and release of Captain Marvel, the new science fiction superhero adventure from Marvel and Disney, has a number of remarkable features, but none of them involve the film's drama, action or characters."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","This is Marvel's most narratively ambitious movie ... and it's occasionally a little hard to follow. But I'll take that trade, given that it's showing us something new."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Captain Marvel is the living embodiment of some of the MCU's worst tendencies, but still ends up being an enjoyable ride and a fine introduction for Carol Danvers."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","While I felt let down by the lack of action, I left the theater with far more to chew on. I felt vindicated too ... She personifies strength and courage, and she's a character our daughters should see represented on the big screen."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn",... at some point you just wish the writers would ease up a bit and stop attempting to wring comedy out of each and every situation.
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","[Captain Marvel] is a blast-- a rip roarin' thrill ride full of humor, heart and guilty-pleasure '90s nostalgia that flips the expectation of an origin story genre on its head."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Despite the standalone nature of this film, the first 40 minutes or so are fairly rough in design, structuring, and visuals."
Captain Marvel,79%,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn","This film pulls off the impressive feat of making an origin story interesting by upending the usual structure of these tales, throwing us headlong into the action with the title heroine and only then revealing how she became an intergalactic warrior."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",There hasn't been a blockbuster that grapples with faith on this scale since The Matrix.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Doctor Strange is a lesser-known figure in the Marvel universe and compared to films about the Avengers, Doctor Strange, as a film, comes out lesser, too."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Rote storytelling and pesky politics aside, the film does offer its rewards, particularly in Cumberbatch's fine performance, some twisty visuals (many cribbed from Inception), and the occasional dabs of gentle humor."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","I'll leave it to others to make sense of the Marvel-y details in Doctor Strange, like Infinity Stones and other superhero cameos. But, as a stand-alone origin film, it more than fits the bill for blockbuster entertainment."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Something different, visually and thematically."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","It isn't without flaws: some humorous moments feel shoehorned in and MacAdams is wasted in a disappointingly two-dimensional role. But if you're looking for an antidote to comic book movie fatigue, Doctor Strange could be the one."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Some stunning visual effects and well-choreographed fight scenes add to the fun, and the cast is all served well, though Mads Mikkelsen's villain is somewhat undercooked..."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",The inventiveness tops itself when Doctor Strange brings us one of the best endings in any Marvel film.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",Perhaps all the storytelling shortcomings and unexplained phenomena could be overlooked more easily with compelling characters and potent emotional exchanges.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",...casting decision was excellent and there is no doubt that Cumberbatch owns the character now...
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",Doctor Strange is a Marvel home run with a bat flip...
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",There's very little that Swinton can't do and she's absolutely sublime as The Ancient One.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","The problem with Doctor Strange comes down to the narrative. As this is an origin story, it does take a while to get going. It's again a 'paint by the numbers' and formulaic storyline."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","After getting a boatload of superhero stuff for years now, a 'fine movie' doesn't really warrant much of a reaction anymore."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Despite a rote, familiar superhero origin story, Doctor Strange delivers a dazzling mystical blast."
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","The visual effects in display are so good, you will think the movie theater employees put LSD on your soda. [Full review in Spanish]"
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","Derrickson's bet is to turn the Supreme Sorcerer's origin film, created by Stan Lee and Steve Ditko, into a mind-blowing visual spectacle for the distinguished Benedict Cumberbatch to shine with the spell of his acting ability. [Full review in Spanish]"
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",I wished I cared about what happened to the characters in this film... I didn't and I don't. Too bad.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",Horrible dialogue throughout.
Doctor Strange,89%,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams","There is more than one way to tell an origin story, and Doctor Strange sets an excellent example by altering the mold, if not entirely breaking it."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Eternals is Marvel's first attempt at making raw drama. The characters have depth, the score & visuals are unmatched, but I wished they'd committed to the genre change more"
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington",The film pushes back against the usual complaints offered up by those who harbor a performative disdain for Marvel's cinematic output.
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Where Kubrick and Clarke took seriously the idea that human evolution may be prompted by alien intercession, Eternalsmakes the whole thing part of some gargantuan, intergalactic eugenics experiment wrapped in pop-philosophy and popcorn-authoritarianism."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Eternals is deeply emotional and alters the Marvel formula we know, which some will love and some will hate."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington",It is entertaining and mostly fast-paced - until the interminable bombastic finale that goes on for many minutes longer than it should - and will please the MU fans.
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Representation should be the headline-grabber for Eternals, but instead, the conversation around the film will likely focus on how much of a disappointment it is."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","The star-studded supergod origin story is all bland fight sequences, cold flashbacks, and blank faces taking in stunning vistas."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","It's the ambiguity, the attention to a person's capacity for contradiction and change, that sets Zhao's MCU debut apart..."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","This sounds kind of fun. And I wish it were. But with the exception of Kumail Nanjiani who offers, without question, the only real reason to see the movie, the story takes itself far too seriously for fun or, really, even logic."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","'Eternals' ventures into existential questions with welcome results for the MCU, however it shines more when the characters are a unit and not on their own side quests."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","A particular dud, and Marvel's worst in years. The mythology is ridiculous, the cast overstuffed, and the action unimpressive."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Tropes be damned, Zhao carves out unexpectedly human immortals who actually care about each other. They love and hate and fight and forgive and feud and feel together. It's a refreshingly emotional take."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington",This is the first post-Endgame entry that I can happily call a great movie while seeing the franchise finally evolve in maturity and take bold risks in its storytelling.
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","If Eternals stuck to the multi-million dollar blueprint, it could have been one of the more fascinating MCU entries instead of the most disappointing effort to date."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Such heady motivations, coupled with heroism, is a lovely core away from the usual costumed good vs. evil throwdowns, but it's very, very profuse, complete with all of the intergalactic gibberish in between."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","A Marvel epic that values personal connections over spectacle? Sorry adrenaline junkies, but that's what Oscar-winning, indie director Chloe Zhao brings to her first blockbuster. The result is uneven, but memorably inclusive and unique."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","In many ways Eternals is not a Chloe Zhao problem as much as it is an MCU problem. After the lights came back on my first thought was that this is where comic book movies have ""jumped the shark""."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","Certainly a revamp, even if it doesn't prove to be a particularly refreshing one."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","In the end, the movie was reliably entertaining as, generally speaking, the MCU is... [But] the concept of Eternals is a lot more interesting than the execution of Eternals."
Eternals,60%,"Angelina Jolie, Salma Hayek, Kit Harington","It's ugly, charisma-free, dour, overlong, exposition-heavy, patronizing, and, worst of all, it has none of the heart even feinted at by the least successful films within the MCU canon."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Absolutely stunning to look at, hilarious to watch, and never takes itself too seriously or gets dragged down in melodrama."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",The blockbuster I've been waiting all summer for.
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",It's an absolute riot from start to finish.
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",The big screen version of this lesser-known Marvel comic is a hilarious curveball.
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","It's so rare to see a film so perfectly crafted and cast. Forget ""MCU films"" or ""Comic book films"", Guardians of the Galaxy is just a great film, period."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","It's filled with one-liners, sight gags and funny moments that play off the more standard blockbuster-style action and battle scenes."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Contains all the excitement and adventure one would expect from a Marvel superhero movie, but the glue that holds this ragtag band of outlaws together is the humor."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",May not necessarily be the movie event of the Summer but it's very likely one of the best Marvel-based cinematic adventures yet.
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Gunn knows not to take the material too seriously, that a fun space adventure such as this should be exactly that: fun and adventurous."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",Guardians of the Galaxy is great reminder that not all superhero comic book films have to be dark and moody.
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Combining huge, spectacle-scale special effects, giant practical sets, and a massive scale, Guardians also works on a narrative level, and as the story of strange, unique, very human-even when they're not-characters."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",Science fiction collides with comics to create something colorful that makes everyone come out of the cinema saying: 'I am Groot'. [Full review in Spanish]
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista",It was a blast!
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","James Gunn has taken a group of characters that the majority didn't care about two years ago and made them guaranteed fan favourites in a movie that's not only one of the most awesome Marvel movies yet, but also 2014's best."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Very entertaining from the great actor selection, to the special effects, to the plot scheme."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","The film marked Marvel Studios going full-on Marvel Comics, bringing with it the requisite band of multi-coloured misfits, whose intersecting character arcs - while occasionally incomplete - formed an alluring tapestry."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Guardians of the Galaxy goes galactic with a new kind of fun, freshness, and family, ready to rock the Marvel universe and yours."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","""Guardians"" is brash, it's bold, and it's not afraid to stray from what you typically expect from Marvel in terms of superheroes."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","Guardians of the Galaxy has laughs, space battles and a mouthy racoon. You don't need anything else in a summer blockbuster."
Guardians of the Galaxy,92%,"Chris Pratt, Zoe Saldana, Dave Bautista","If Boyhood is a reminder of film's potential to be groundbreaking art, Guardians of the Galaxy is a testament to its capacity for inducing pure joy."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",Baby Groot steals the show...
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","The jokey demeanor that informed the first film remains, even if writer-director James Gunn forces too many gags. But the freshness of the characters remains intact, and the actors continue to interact in a manner that supports the narrative spine."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",You just can't help but have a smile on your face right away.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",Not all the pieces fit ... but what doesn't work never sticks around long enough to ruin the whole shebang.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",A very watchable second slice of intergalactic fun.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","With vibrant colors of the multiple planets, creatures, and space opera-like battles, Guardians of the Galaxy Vol. 2 is an eye-popping, visual rock concert."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","An overdependence on CG and its wirework equivalent is disappointing, as it makes the already unbelievable stunts appear just that much more phony."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",An incredibly disappointing movie
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","If you want more Guardians of the Galaxy, this movie is sure not to disappoint, even if it deigns to fly a little too high on its own excess."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",Pretty close to everything I've ever wanted from a superhero flick.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",Some can argue that the surprise factor has gone...The first film was a feel good exercise involving infinity stones with a sing-a-long and toe-tapping soundtrack. But the sequel felt like an overcooked and bloated indulgence.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","By the final-act showdown with a much larger threat, you may find yourself inadvertently tearing up. Family can be tough, but then, love usually is."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","How much mileage you get out of Guardians of the Galaxy Vol. 2 will depend a great deal on how you feel about the first movie, because this is more of the same."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","Guardians of the Galaxy Vol. 2 is James Gunn's version of a Marvel Universe Empire Strikes Back: A film that retains everything the audience loves about the preceding movie, yet going deeper to expand the characters and story for further exploration."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",A sequel that I enjoyed as if I were a kid swimming in a sea of candies. It is even more fun than the predecessor. [Full review in Spanish]
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",A really fun time.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper",I had a lot of fun in this movie.
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","In the end, it isn't about whether it's a better movie than the first installment; like most of the characters within, it's more mature and substantial and doesn't rely on past accomplishments to make it great."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","There are still familiar elements, like the early-80's pop tunes that add to the exuberance of the film; overall the film has a vibrant joy that's infectious. Guardians of the Galaxy Vol. 2 is the antidote for grimdark foolishness..."
Guardians of the Galaxy Vol. 2,85%,"Chris Pratt, Zoe Saldana, Bradley Cooper","There's a complete mix of fun, laughs and A LOT of emotions all thrown into one epic saga."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","When all is said and done, this is, without a doubt, the Robert Downey Jr. show from start to finish."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",One of the best they've ever made
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",A fun two-hours thanks to a top cast lead by a charismatic Robert Downey Jr. Most of the effects still hold up and the action scenes are still exciting.
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","If you don't like Iron Man, then you should stop going to movies."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","Marvel's questions of intervention are locked within an invisible framework, one that allows for lip-service to questioning power, yet one that implicitly comes down on the side of power itself, forever protecting the American status quo."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","This is Downey at the top of his game, delivering a performance full of humor and self-awareness."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","Iron Man might feature a mesmerizing performance by Robert Downey Jr. and kicked off the Marvel Cinematic Universe, but that doesn't entirely save it from a weak villain or falling apart by the third act."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",Iron Man may just be one adventure but the film is a lot more than that because it has the main responsibility of launching an entire Marvel Cinematic Universe.
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","Few of the films in the (MCU) are as accessible as this one, and while you may not love it in your top-ten films of all-time, you can't beat the good time this film brings."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","Robert Downey Jr. is the clown prince of stars, a role he was born to play after allowing us to watch his candid Hollywood revels for years and years and years."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",Iron Man is of such caliber that it makes the other films from the Marvel canon seem lesser by comparison.
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","Still, if the film is ultimately disappointing it is in part because it begins so well, and there is a lot to enjoy before the over-the-top final act."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","The movie that proved it's possible to make GOOD superhero movies, ushering in the MCU and teaching DC absolutely nothing."
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow",It's perhaps the most thrilling tribute to good old American ingenuity the movies have given us in ages.
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","I like Downey Jr, usually, with his dark wounded eyes, but here his performance veers between going though the motions and a look which seems to say, ""Hey, what film am I doing again?"""
Iron Man,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow","It's faithful to the comic origins without being slavish, draws ideas from the entire run of the series, and stirs a self-aware sense of humor through the action while still taking the enterprise seriously."
