title,media_score,cast,short_review
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","For the sections of its 117-minute running time when it's focusing on its core plot, Ant-Man is a good time at the movies."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","It's all so formulaic, so intentional, so transparently focused on a specific audience to milk a specific dollar."
Ant-Man,83%,"Paul Rudd, Michael Douglas, Evangeline Lilly","Paul Rudd brings a boyish charm to any role he plays. His ""Aw, shucks!"" demeanor is perfect for the film's version of Scott Lang, though this iteration of the character is also trapped in a story that can't decide what it wants him to be."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","It seems [Whedon] was willing to tell the story at all costs, regardless of faults within the narrative and the universe."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",An electrifying cast under the guidance of Joss Whedon and a cool storyline are irresistible even for a less-than-enthusiastic superhero fan like me.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",It's too much of a lot of great things.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Criminally underrated and one of Marvel's best.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Avengers: Age of Ultron is a good film and a fun time, but it doesn't reach the heights of the other films in its sub-series..."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Whedon has tried to dazzle our eyes-and he does!- but has forgotten about engaging our brains.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","The enemies are merely repetitive opportunities for over-the-top, realism-devoid, gravity-defying stunts and action sequences to play out, one after the next."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",For the first time ....The Avengers were in Africa. CGI effects were well done and show how technology is advancing.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Avengers: Age of Ultron is a film that occasionally lives up to that simultaneous nerdgasm.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Avengers: Age of Ultron is a good film but may fall short of your high expectations.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","I had a lot of fun with this installment, I just wish it wasn't so concerned with reminding us that there's more to come in the years ahead."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","It's a funny, fantastic movie with the Avengers dealing with internal conflict (not least the fact that Tony and Banner basically created said enemy). Also, it is a film which will have lasting and meaningful consequences on the MCU."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Big, brash, and overcrowded, but entertaining enough to satiate fans."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Age of Ultron is super fun. It successfully grows from the seeds planted by the first [Avengers film], fertilized by the individual experiences the characters have had in their own, stand-alone adventures."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","What is appealing with Avengers: Age of Ultron is that, although it does not surpass its predecessor [The Avengers] in narrative terms, it almost always looks for a new pace of entertainment. [Full review in Spanish]"
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",Here is my thoughts on Avengers Age of Ultron. (podcast)
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","It's a sprawling epic that represents the best work the corporate Hollywood studio system can produce. With Whedon's work, that's not damning with faint praise, it's just a statement of fact."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Avengers: Age of Ultron is a big ol' action beat-'em-up between superheroes and robots. It also uses genre trappings to dramatize the creation of God and the Devil, in order to tell a story about why we create, and why our stories matter."
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",[A] non-stop thrill ride of action and entertainment.
Avengers: Age of Ultron,76%,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Overall, Avengers: Age of Ultron is a fitting sequel - funny, action-packed and a lot more balanced."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","For me, it didn't fulfill the promise of Infinity War, but it did fulfill the promise of the previous twenty movies."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","I'm just grateful to have the privilege to watch this along with the rest of the world. It's not perfect, but it has been one hell of a ride."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Here's the other really neat thing about Endgame: it made me think of priorities in life and what or who is worth sacrificing for, especially loved ones..."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",The true superteam event releases marked something slightly different and spectacular...End Game over the original Guardians by a hair...
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",This goes beyond the usual scale.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",A film that somehow manages to be as epic as fans hope and as dramatic as the MCU deserves.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Films don't come any huger than this: the closing chapter to an 11-year saga in the Marvel Cinematic Universe, told across some 22 movies. And by the end of its three-hour runtime, there will definitely be tears."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",There really is very little that could be improved about Endgame. There's certainly no more that could be thrown at it.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","So much of the art form is about storytelling, and bringing so many side stories and characters to a satisfying conclusion is tough, and the film blended a (rather) unpredictable plot with emotional character beats deftly..."
